link_prob	attacker	attacker_err	defender	defender_err	total	total_err	
5	108,25999999999998	10,825999999999999	262,24999999999994	26,224999999999994	370,50999999999976	37,05099999999998	
15	104,83000000000001	10,483000000000002	254,1499999999999	25,414999999999992	358,98	35,898	
25	111,74000000000002	11,174000000000003	266,6600000000001	26,66600000000001	378,40000000000003	37,84	
35	113,83999999999996	11,383999999999997	273,32000000000005	27,332000000000008	387,16	38,71600000000001	
45	102,25	10,225000000000001	252,22000000000003	25,222000000000005	354,4699999999999	35,446999999999996	
55	110,84	11,084000000000001	269,52	26,951999999999998	380,3599999999999	38,035999999999994	
65	113,74999999999999	11,375	264,5899999999999	26,458999999999993	378,33999999999975	37,833999999999975	
75	112,86999999999999	11,286999999999999	264,96	26,496	377,83	37,783	
85	119,49999999999999	11,95	275,67999999999995	27,567999999999998	395,17999999999995	39,518	
95	109,91999999999999	10,991999999999999	274,5200000000001	27,452000000000012	384,43999999999994	38,443999999999996	
