link_prob	attacker	attacker_err	defender	defender_err	total	total_err	
5	573,12	57,312000000000005	2072,1000000000004	207,21000000000004	2645,219999999999	264,5219999999999	
15	493,18999999999994	49,318999999999996	1738,92	173,89200000000002	2232,1099999999997	223,21099999999998	
25	520,2199999999999	52,02199999999999	1795,86	179,586	2316,08	231,608	
35	473,8300000000001	47,38300000000001	1540,77	154,077	2014,5999999999997	201,45999999999998	
45	466,62	46,662000000000006	1515,9300000000003	151,59300000000005	1982,55	198,255	
55	600,0400000000001	60,00400000000001	2058,53	205,85300000000004	2658,5699999999997	265,85699999999997	
65	503,5499999999998	50,35499999999998	1649,3699999999994	164,93699999999995	2152,919999999999	215,29199999999992	
75	490,59999999999985	49,05999999999999	1719,7900000000002	171,97900000000004	2210,3900000000003	221,03900000000004	
85	478,96000000000015	47,896000000000015	1611,0500000000002	161,10500000000002	2090,0100000000007	209,0010000000001	
95	520,34	52,034000000000006	1709,5	170,95000000000002	2229,84	222,98400000000004	
